图书名,国家,作者,出版社,出品方,副标题,原作名,译者,出版年,图书页数,平装定价,精装定价,丛书,ISBN,评分,评论人数,5星百分比,4星百分比,3星百分比,2星百分比,1星百分比,短评数,综评数,在读读者数,已读读者数,想读读者数,读书笔记数
全球通史(上),美国,斯塔夫里阿诺斯,北京大学出版社,无,从史前史到21世纪,无,吴象婴 / 梁赤民 / 董书慧 / 王昶,2006,342,42.0,0.0,培文书系·人文科学系列,9787301109489,9.2,19041,0.6609999999999999,0.284,0.05,0.004,0.002,3628,343,5284,24942,27155,891
翦商,中国,李硕,广西师范大学出版社,无,殷周之变与华夏新生,无,无,2022,592,0.0,99.0,无,9787559852533,9.0,27837,0.63,0.292,0.061,0.01,0.0069999999999999,12136,684,6261,28662,101578,1486
史蒂夫·乔布斯传,美国,沃尔特·艾萨克森,中信出版社,无,无,Steve,管延圻 / 魏群 / 余倩 / 赵萌萌 / 汤崧,2011,560,68.0,0.0,无,9787508630069,8.8,61206,0.503,0.386,0.102,0.006,0.003,16125,1559,13773,110733,84851,3404
不能承受的生命之轻,法国,米兰·昆德拉,上海译文出版社,无,中文全译本百万纪念版,无,许钧,2010,394,29.0,0.0,米兰·昆德拉作品系列（2010版）,9787532751655,8.8,47252,0.515,0.376,0.098,0.009,0.003,11063,3169,5362,68866,47974,2456
温柔的夜,中国,三毛,北京十月文艺出版社,青马文化,无,无,无,2007,294,0.0,28.0,三毛集,9787530208915,9.1,23750,0.631,0.313,0.052,0.002,0.001,3060,260,791,48581,29971,95
球状闪电,中国,刘慈欣,四川科学技术出版社,科幻世界,无,无,无,2005,281,22.0,0.0,科幻世界·中国科幻基石丛书,9787536455382,8.7,88651,0.521,0.387,0.084,0.006,0.001,22867,675,2461,120728,43026,455
爱的艺术,美国,艾·弗洛姆,上海译文出版社,99读书人,无,无,李健鸣,2008,144,15.0,0.0,译文心理,9787532745159,8.8,49846,0.534,0.354,0.096,0.012,0.004,16117,1487,8258,78587,151100,2813
草房子,中国,曹文轩,江苏少年儿童出版社,无,无,无,无,2009,296,18.0,0.0,曹文轩纯美小说系列,9787534618727,9.0,53590,0.625,0.303,0.063,0.005,0.003,9462,537,878,88618,27726,68
我不知道该说什么，关于死亡还是爱情,白俄罗斯,S·A·阿列克谢耶维奇,花城出版社,磨铁·铁葫芦,来自切尔诺贝利的声音,Voices from Chernobyl,方祖芳 / 郭成业,2014,280,34.8,0.0,无,9787536071377,9.1,20242,0.653,0.291,0.051,0.004,0.002,7037,690,1914,28891,55271,528
亮剑,中国,都梁,解放军文艺出版社,无,无,无,无,2005,570,28.0,0.0,无,9787503311864,9.0,31155,0.659,0.271,0.06,0.006,0.004,7148,529,745,47793,16533,97
半生缘,中国,张爱玲,北京十月文艺出版社,青马文化,张爱玲全集04——小说,无,无,2012,345,29.6,0.0,张爱玲全集（2012-2015版）,9787530211144,9.1,31839,0.609,0.3339999999999999,0.052,0.003,0.001,10078,1771,1396,39171,25291,800
霸王别姬,中国,李碧华,人民文学出版社,无,无,无,无,1999,272,10.2,0.0,李碧华文集人民文学版,9787020028504,9.1,22524,0.647,0.298,0.05,0.003,0.001,4803,389,432,40707,24080,111
恶意,日本,东野圭吾,南海出版公司,新经典文化,无,悪意,娄美莲,2016,268,0.0,39.5,新经典文库·东野圭吾作品,9787544285148,8.7,130102,0.5539999999999999,0.363,0.077,0.004,0.001,37957,3378,2130,187263,44031,527
古文观止,中国,吴楚材 / 吴调侯,中华书局,无,无,无,无,1987,527,21.0,0.0,无,9787101000290,9.1,19175,0.669,0.268,0.059,0.003,0.001,2290,364,3944,36495,32344,224
我的阿勒泰,中国,李娟,云南人民出版社,英特颂,无,My Altay,无,2010,260,22.0,0.0,无,9787222065413,8.9,28742,0.541,0.3779999999999999,0.075,0.005,0.001,9133,588,3211,39867,43977,818
冰与火之歌,美国,乔治·R.R.马丁,重庆出版社,独角兽书系,（1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂舞）,A Song of Ice and Fire,谭光磊 / 屈畅 / 胡绍晏,2013,0,0.0,330.0,独角兽书系,9787223361835,9.5,18818,0.8059999999999999,0.162,0.027,0.003,0.002,3455,96,4691,23596,43391,166
生死疲劳,中国,莫言,浙江文艺出版社,读客文化,无,无,无,2022,584,69.9,0.0,读客莫言作品,9787533966102,9.1,39940,0.6709999999999999,0.265,0.052,0.0069999999999999,0.005,13483,2941,6517,42852,78202,621
我也有一个梦想,中国,林达 / 李晓林,生活·读书·新知三联书店,无,近距离看美国之三,无,无,2004,428,25.0,0.0,林达作品系列,9787108012715,9.0,16095,0.5720000000000001,0.356,0.065,0.004,0.003,3216,194,1785,25952,35683,499
麦琪的礼物,美国,欧·亨利,上海社会科学院出版社,99读书人,欧·亨利短篇小说经典,无,张经浩,2003,354,25.0,0.0,无,9787806812297,8.7,75955,0.512,0.405,0.08,0.002,0.0,8604,336,1329,185894,68107,29
