图书名,价格,出版年,国家,作者,出版社,评分,评论数,主题评论
也许你该找个人聊聊 Maybe You Should Talk to Someone,68.0,2021,美,洛莉·戈特利布,上海文化出版社,9.0,49588,无
浪潮之巅,55.0,2011,中国,吴军,电子工业出版社,9.0,33700,了解IT领域的入门读物
离开的，留下的 : 那不勒斯四部曲3 Storia di chi fugge e di chi resta,62.0,2017,意, 埃莱娜·费兰特,人民文学出版社,8.9,75158,探索中年的虚无、困惑、野心和近乎残暴的爱
毛泽东选集 第一卷,40.0,1991,中国,毛泽东,人民出版社,9.6,28772,无
爱你就像爱生命,18.0,2008,中国,王小波,上海锦绣文章出版社,8.8,115381,王小波与李银河的两地书
叫魂 : 1768年中国妖术大恐慌 Soulstealers: The Chinese Sorcery Scare of 1768,38.0,2014,美, 孔飞力,生活·读书·新知三联书店 上海三联书店,9.2,29523,无
失明症漫记 Ensaio sobre a Cegueira,29.5,2014,葡, 若泽·萨拉马戈,南海出版公司,9.1,38506,失明症迅速蔓延，整个城市陷入一场空前的灾难
人生的枷锁 Of Human Bondage,32.0,2007,英, 毛姆,上海译文出版社,9.1,31096,在混沌纷扰的生活漩流中，寻求人生的真谛
我们仨,18.8,2003,中国,杨绛,生活·读书·新知三联书店,8.8,310261,家庭生活回忆录
桶川跟踪狂杀人事件 桶川ストーカー殺人事件,45.0,2021,日, 清水洁,四川人民出版社,9.0,48431,无
看不见的城市 Le città invisibili,25.0,2012,意, 伊塔洛·卡尔维诺,译林出版社,9.0,37392,无
受戒 : 汪曾祺自选集,3.95,1987,中国,汪曾祺,漓江出版社,9.4,26972,江南乡镇民间生活，健康淳朴的人性
巨人的陨落 : 世纪三部曲 Fall of Giants,129.8,2016,英, 肯·福莱特,江苏凤凰文艺出版社,8.9,85315,五个家族，一场战争
海子的诗,15.4,1999,中国,海子,人民文学出版社,9.0,46530,无
教父 The Godfather,23.3,1997,美,马里奥·普佐,译林出版社,9.0,40572,“教父三部曲”电影原著
人生的智慧,28.0,2008,德,叔本华,上海人民出版社,9.2,32824,对世俗、实用问题深刻而透彻的讨论
飞鸟集,16.8,2004,印, 罗宾德拉纳德·泰戈尔,哈尔滨出版社,8.9,66336,一个淡泊清透的世界
少年凯歌,10.0,2001,中国,人民文学出版社,人民文学出版社,9.3,18191,无
